bucket_id,bucket_label,bucket_tier,base_file,output_file,status
christian,Christian,primary,content/topic-guides/chapters/ch-01-always-on-your-high-alert-brain.md,content/topic-guides/audience-slants/christian/ch-01-always-on-your-high-alert-brain.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-03-hypervigilance-at-home.md,content/topic-guides/audience-slants/christian/ch-03-hypervigilance-at-home.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-04-anger-and-short-fuse-days.md,content/topic-guides/audience-slants/christian/ch-04-anger-and-short-fuse-days.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-06-depression-and-numbness.md,content/topic-guides/audience-slants/christian/ch-06-depression-and-numbness.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-08-shame-spirals-and-self-loathing.md,content/topic-guides/audience-slants/christian/ch-08-shame-spirals-and-self-loathing.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-09-memory-slips.md,content/topic-guides/audience-slants/christian/ch-09-memory-slips.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-11-decision-fatigue.md,content/topic-guides/audience-slants/christian/ch-11-decision-fatigue.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-12-overreacting-to-small-stuff.md,content/topic-guides/audience-slants/christian/ch-12-overreacting-to-small-stuff.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-13-chronic-sleep-debt.md,content/topic-guides/audience-slants/christian/ch-13-chronic-sleep-debt.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-14-sleep-apnea-and-snoring.md,content/topic-guides/audience-slants/christian/ch-14-sleep-apnea-and-snoring.md,draft_v1_complete
christian,Christian,primary,"content/topic-guides/chapters/ch-19-noise,-crowds,-public-spaces.md","content/topic-guides/audience-slants/christian/ch-19-noise,-crowds,-public-spaces.md",draft_v1_complete
christian,Christian,primary,"content/topic-guides/chapters/ch-20-vision,-balance,-motion-sensitivity.md","content/topic-guides/audience-slants/christian/ch-20-vision,-balance,-motion-sensitivity.md",draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-21-home-feels-like-a-minefield.md,content/topic-guides/audience-slants/christian/ch-21-home-feels-like-a-minefield.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-22-red-and-yellow-and-green-communication.md,content/topic-guides/audience-slants/christian/ch-22-red-and-yellow-and-green-communication.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-23-repair-after-damage.md,content/topic-guides/audience-slants/christian/ch-23-repair-after-damage.md,draft_v1_complete
christian,Christian,primary,content/topic-guides/chapters/ch-24-parenting-on-empty.md,content/topic-guides/audience-slants/christian/ch-24-parenting-on-empty.md,draft_v1_complete
